Nombre;Latitud;Longitud;Dependencia;Region;Comuna;Ruralidad;Matricula_Total
Liceo Politecnico Arica;-18,4872;-70,295212;Serv. Local Educacion;AYP;Arica;Urbano;1086
Parvulario Las Espiguitas;-18,46986198;-70,30275726;Serv. Local Educacion;AYP;Arica;Urbano;112
Esc. Pedro Vicente Gutierrez Torres;-18,50358009;-70,26082611;Serv. Local Educacion;AYP;Arica;Rural;497
Liceo Octavio Palma Perez;-18,474239;-70,308273;Serv. Local Educacion;AYP;Arica;Urbano;1279
Jovina Naranjo Fernandez;-18,4769;-70,313454;Serv. Local Educacion;AYP;Arica;Urbano;783
L. Poli. Bicentenario De Excelencia Antonio Varas De La Barra;-18,476151;-70,288368;Serv. Local Educacion;AYP;Arica;Urbano;1110
Colegio Eduardo Frei Montalva;-18,482491;-70,317581;Serv. Local Educacion;AYP;Arica;Urbano;806
Escuela Republica De Israel;-18,486691;-70,30452;Serv. Local Educacion;AYP;Arica;Urbano;1379
Escuela Republica De Francia;-18,474369;-70,309036;Serv. Local Educacion;AYP;Arica;Urbano;137
Esc. Gral. Pedro Lagos Marchant;-18,491011;-70,311577;Serv. Local Educacion;AYP;Arica;Urbano;322
Escuela Gral Jose Miguel Carrera;-18,49193;-70,293968;Serv. Local Educacion;AYP;Arica;Urbano;301
Escuela Manuel Rodriguez Erdoyza;-18,48134;-70,285347;Serv. Local Educacion;AYP;Arica;Urbano;245
Escuela Romulo J. Pena Maturana;-18,481239;-70,289757;Serv. Local Educacion;AYP;Arica;Urbano;359
Liceo Bicentenario Artistico Dr. Juan Noe Crevani;-18,47138596;-70,300354;Serv. Local Educacion;AYP;Arica;Urbano;393
Escuela Regimiento Rancagua;-18,474831;-70,308777;Serv. Local Educacion;AYP;Arica;Urbano;273
Escuela Subtte. Luis Cruz Martinez;-18,46727;-70,290939;Serv. Local Educacion;AYP;Arica;Urbano;438
Esc. Comte. Juan Jose San Martin;-18,476681;-70,287788;Serv. Local Educacion;AYP;Arica;Urbano;321
Esc. Humberto Valenzuela Garcia;-18,474661;-70,291908;Serv. Local Educacion;AYP;Arica;Urbano;273
Escuela Tucapel;-18,4797;-70,295502;Serv. Local Educacion;AYP;Arica;Urbano;428
Escuela Gabriela Mistral;-18,44829;-70,290649;Serv. Local Educacion;AYP;Arica;Urbano;886
Colegio Centenario De Arica;-18,440001;-70,293381;Serv. Local Educacion;AYP;Arica;Urbano;836
Escuela Republica De Argentina;-18,48361;-70,300591;Serv. Local Educacion;AYP;Arica;Urbano;235
Escuela Esmeralda;-18,483049;-70,308029;Serv. Local Educacion;AYP;Arica;Urbano;288
Escuela Ricardo Silva Arriagada;-18,485069;-70,294403;Serv. Local Educacion;AYP;Arica;Urbano;670
Escuela America;-18,47761;-70,28302;Serv. Local Educacion;AYP;Arica;Urbano;535
Escuela Dr. Ricardo Olea Guerra;-18,48061752;-70,28401184;Serv. Local Educacion;AYP;Arica;Urbano;173
Escuela Dario Salas Diaz;-18,50066;-70,254593;Serv. Local Educacion;AYP;Arica;Rural;384
Liceo Agricola Jose Abelardo Nunez M.;-18,51926;-70,178741;Serv. Local Educacion;AYP;Arica;Rural;829
Escuela Carlos Condell De La Haza;-18,41711;-70,225853;Serv. Local Educacion;AYP;Arica;Rural;198
Escuela Gral. Manuel Baquedano;-18,451719;-70,067574;Serv. Local Educacion;AYP;Arica;Rural;138
Escuela Ignacio Carrera Pinto;-18,4956;-70,283524;Serv. Local Educacion;AYP;Arica;Urbano;331
Escuela España;-18,558821;-70,100723;Serv. Local Educacion;AYP;Arica;Rural;492
Escuela Pampa Algodonal;-18,578211;-69,965172;Serv. Local Educacion;AYP;Arica;Rural;148
Escuela Valle De Chaca;-18,820641;-70,140381;Serv. Local Educacion;AYP;Arica;Rural;88
Escuela Molinos Lluta;-18,38175;-69,944893;Serv. Local Educacion;AYP;Arica;Rural;24
Jardin Infantil Cepillin;-18,439636;-70,290726;Part. Subvencionado;AYP;Arica;Urbano;20
Colegio Italiano Santa Ana;-18,483061;-70,314301;Part. Subvencionado;AYP;Arica;Urbano;831
Jardin Infantil Padre Luis Gallardo;-18,475018;-70,29024;Part. Subvencionado;AYP;Arica;Urbano;22
Colegio Adventista De Arica;-18,49332;-70,270767;Part. Subvencionado;AYP;Arica;Urbano;521
